[000.0 h] POS: ( 8,34) | BATT: 100.0% | DIST:    2 | MINERALS:  0 | ACT: MOVING (NORMAL)
[000.5 h] POS: ( 8,34) | BATT: 100.0% | DIST:    2 | MINERALS:  1 | ACT: MINING G
[001.0 h] POS: ( 8,35) | BATT: 100.0% | DIST:    3 | MINERALS:  1 | ACT: MOVING (SLOW)
[001.5 h] POS: ( 8,35) | BATT: 100.0% | DIST:    3 | MINERALS:  2 | ACT: MINING G
[002.0 h] POS: ( 8,36) | BATT: 100.0% | DIST:    4 | MINERALS:  2 | ACT: MOVING (SLOW)
[002.5 h] POS: ( 8,36) | BATT: 100.0% | DIST:    4 | MINERALS:  3 | ACT: MINING G
[003.0 h] POS: ( 9,36) | BATT: 100.0% | DIST:    5 | MINERALS:  3 | ACT: MOVING (SLOW)
[003.5 h] POS: ( 9,36) | BATT: 100.0% | DIST:    5 | MINERALS:  4 | ACT: MINING G
[004.0 h] POS: (10,35) | BATT: 100.0% | DIST:    6 | MINERALS:  4 | ACT: MOVING (SLOW)
[004.5 h] POS: (10,35) | BATT: 100.0% | DIST:    6 | MINERALS:  5 | ACT: MINING G
[005.0 h] POS: (10,34) | BATT: 100.0% | DIST:    7 | MINERALS:  5 | ACT: MOVING (SLOW)
[005.5 h] POS: (10,34) | BATT: 100.0% | DIST:    7 | MINERALS:  6 | ACT: MINING G
[006.0 h] POS: ( 9,34) | BATT: 100.0% | DIST:    8 | MINERALS:  6 | ACT: MOVING (SLOW)
[006.5 h] POS: ( 9,34) | BATT: 100.0% | DIST:    8 | MINERALS:  7 | ACT: MINING G
[007.0 h] POS: ( 9,33) | BATT: 100.0% | DIST:    9 | MINERALS:  7 | ACT: MOVING (SLOW)
[007.5 h] POS: ( 9,33) | BATT: 100.0% | DIST:    9 | MINERALS:  8 | ACT: MINING G
[008.0 h] POS: (10,33) | BATT: 100.0% | DIST:   10 | MINERALS:  8 | ACT: MOVING (SLOW)
[008.5 h] POS: (10,33) | BATT: 100.0% | DIST:   10 | MINERALS:  9 | ACT: MINING G
[009.0 h] POS: (11,33) | BATT: 100.0% | DIST:   11 | MINERALS:  9 | ACT: MOVING (SLOW)
[009.5 h] POS: (11,33) | BATT: 100.0% | DIST:   11 | MINERALS: 10 | ACT: MINING G
[010.0 h] POS: (12,33) | BATT: 100.0% | DIST:   12 | MINERALS: 10 | ACT: MOVING (SLOW)
[010.5 h] POS: (12,33) | BATT: 100.0% | DIST:   12 | MINERALS: 11 | ACT: MINING G
[011.0 h] POS: (12,32) | BATT: 100.0% | DIST:   13 | MINERALS: 11 | ACT: MOVING (SLOW)
[011.5 h] POS: (12,32) | BATT: 100.0% | DIST:   13 | MINERALS: 12 | ACT: MINING G
[012.0 h] POS: (12,31) | BATT: 100.0% | DIST:   14 | MINERALS: 12 | ACT: MOVING (SLOW)
[012.5 h] POS: (12,31) | BATT: 100.0% | DIST:   14 | MINERALS: 13 | ACT: MINING G
[013.0 h] POS: (12,30) | BATT: 100.0% | DIST:   15 | MINERALS: 13 | ACT: MOVING (SLOW)
[013.5 h] POS: (12,30) | BATT: 100.0% | DIST:   15 | MINERALS: 14 | ACT: MINING G
[014.0 h] POS: (12,29) | BATT: 100.0% | DIST:   16 | MINERALS: 14 | ACT: MOVING (SLOW)
[014.5 h] POS: (12,29) | BATT: 100.0% | DIST:   16 | MINERALS: 15 | ACT: MINING G
[015.0 h] POS: (12,28) | BATT: 100.0% | DIST:   17 | MINERALS: 15 | ACT: MOVING (SLOW)
[015.5 h] POS: (12,28) | BATT: 100.0% | DIST:   17 | MINERALS: 16 | ACT: MINING G
[016.0 h] POS: (13,28) | BATT:  98.0% | DIST:   18 | MINERALS: 16 | ACT: MOVING (SLOW)
[016.5 h] POS: (13,28) | BATT:  96.0% | DIST:   18 | MINERALS: 17 | ACT: MINING G
[017.0 h] POS: (13,27) | BATT:  94.0% | DIST:   19 | MINERALS: 17 | ACT: MOVING (SLOW)
[017.5 h] POS: (13,27) | BATT:  92.0% | DIST:   19 | MINERALS: 18 | ACT: MINING G
[018.0 h] POS: (14,27) | BATT:  90.0% | DIST:   20 | MINERALS: 18 | ACT: MOVING (SLOW)
[018.5 h] POS: (14,27) | BATT:  88.0% | DIST:   20 | MINERALS: 19 | ACT: MINING G
[019.0 h] POS: (14,28) | BATT:  86.0% | DIST:   21 | MINERALS: 19 | ACT: MOVING (SLOW)
[019.5 h] POS: (14,28) | BATT:  84.0% | DIST:   21 | MINERALS: 20 | ACT: MINING G
[020.0 h] POS: (14,29) | BATT:  82.0% | DIST:   22 | MINERALS: 20 | ACT: MOVING (SLOW)
[020.5 h] POS: (14,29) | BATT:  80.0% | DIST:   22 | MINERALS: 21 | ACT: MINING G
[021.0 h] POS: (12,30) | BATT:  72.0% | DIST:   24 | MINERALS: 21 | ACT: MOVING (NORMAL)
[021.5 h] POS: (10,31) | BATT:  64.0% | DIST:   26 | MINERALS: 21 | ACT: MOVING (NORMAL)
[022.0 h] POS: ( 8,32) | BATT:  56.0% | DIST:   28 | MINERALS: 21 | ACT: MOVING (NORMAL)
[022.5 h] POS: ( 6,32) | BATT:  48.0% | DIST:   30 | MINERALS: 21 | ACT: MOVING (NORMAL)
[023.0 h] POS: ( 6,32) | BATT:  47.0% | DIST:   30 | MINERALS: 21 | ACT: STANDBY
[023.5 h] POS: ( 6,32) | BATT:  46.0% | DIST:   30 | MINERALS: 21 | ACT: STANDBY
